SAMPLE_ID	RUN	WORKFLOW_TYPE	WORKFLOW_VERSION	RECORD_TYPE	COMPLETED_ALL_STEPS	DNA_ALLELE_DOSAGE_RATIO	DNA_CONTAMINATION_SCORE	DNA_EXCESSIVE_TF	DNA_GENE_SCALED_MAD	DNA_MEAN_FAMILY_SIZE	DNA_MEAN_TARGET_COVERAGE	DNA_MEDIAN_BIN_COUNT_CNV_TARGET	DNA_MEDIAN_EXON_COVERAGE	DNA_MEDIAN_INSERT_SIZE	DNA_MEDIAN_TARGET_COVERAGE	DNA_MEDIAN_TARGET_HRD_COVERAGE	DNA_PCT_ALIGNED_READS	DNA_PCT_CHIMERIC_READS	DNA_PCT_CONTAMINATION_EST	DNA_PCT_EXON_100X	DNA_PCT_EXON_50X	DNA_PCT_Q30_BASES	DNA_PCT_READ_ENRICHMENT	DNA_PCT_SOFT_CLIPPED_BASES	DNA_PCT_TARGET_0_4X_MEAN	DNA_PCT_TARGET_100X	DNA_PCT_TARGET_250X	DNA_PCT_TARGET_50X	DNA_PCT_TARGET_HRD_50X	DNA_PCT_USABLE_UMI_READS	DNA_TOTAL_PF_READS	DNA_USABLE_MSI_SITES	RNA_GENE_ABOVE_MEDIAN_CUTOFF	RNA_GENE_MEDIAN_COVERAGE	RNA_MEDIAN_CV_GENE_500X	RNA_MEDIAN_INSERT_SIZE	RNA_PCT_CHIMERIC_READS	RNA_PCT_ON_TARGET_READS	RNA_PCT_Q30_BASES	RNA_PCT_SOFT_CLIPPED_BASES	RNA_SCALED_MEDIAN_GENE_COVERAGE	RNA_TOTAL_ON_TARGET_READS	RNA_TOTAL_PF_READS	PCT_PF_READS	PCT_Q30_R1	PCT_Q30_R2	DNA_CONTAMINATION_P_VALUE	DNA_COVERAGE_MAD	DNA_PCT_PF_UQ_READS
IPD1565-R03-A01-M17_P	241115_A02134_0038_BHKT5WDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.79	121	0.47	88.2	NA	NA	5952.2	26458989	29995068	79.1	93.3	91.9	NA	NA	NA
LSL_Guideline	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	LOWER_THRESHOLD	NA	NA	0	NA	NA	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	9000000	NA	55.0	80.0	80.0	0.000	0.000	NA
USL_Guideline	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	UPPER_THRESHOLD	NA	NA	3106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.049	0.210	NA
IPD0195-D01-P91-A25-0001_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	130	NA	NA	1.8	1198.0	10.9	942	105	796.0	NA	98.8	1.11	0.2	99.0	99.4	NA	78.7	NA	68.9	98.4	91.6	NA	NA	99.9	123337080	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	1.000	0.173	100.0
IPD0195-R03-P91-A25-0002_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.88	105	0.14	94.2	NA	NA	4304.8	20246686	21489714	89.0	95.4	94.9	NA	NA	NA
IPD0260-D01-r02-A18_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	2183	NA	NA	2.0	837.1	10.4	823	110	794.0	NA	98.9	0.69	2.8	98.8	99.3	NA	78.0	NA	93.0	98.1	95.7	NA	NA	99.9	98070002	118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	0.022	0.134	100.0
IPD0260-R03-r02-A18_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.21	106	0.14	95.1	NA	NA	5055.6	24724554	26009890	89.0	95.4	94.9	NA	NA	NA
IPD0511-D01-P91-A28-0002_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	360	NA	NA	3.5	529.4	7.7	535	86	498.0	NA	99.0	0.90	0.7	98.9	99.4	NA	81.8	NA	93.3	97.9	90.1	NA	NA	99.9	123441838	91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	1.000	0.087	100.0
IPD0511-R03-P91-A28-0004_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.75	90	0.15	95.4	NA	NA	3240.3	17761366	18623520	89.0	95.4	94.9	NA	NA	NA
IPD0781-D01-P91-A29-0004_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	791	NA	NA	6.9	183.8	2.8	166	78	160.0	NA	98.2	2.67	1.4	91.3	98.9	NA	73.7	NA	96.0	88.9	14.9	NA	NA	99.9	103512096	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	1.000	0.095	100.0
IPD0781-R03-P91-A29-0004_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.96	93	0.22	93.4	NA	NA	4206.7	21125627	22616294	89.0	95.4	94.9	NA	NA	NA
IPD0820-D01-P91-F08-0014_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	972	NA	NA	2.2	1073.6	9.8	857	128	819.0	NA	98.0	0.22	1.0	98.7	99.1	NA	80.5	NA	85.5	98.1	94.8	NA	NA	99.9	117114958	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	1.000	0.151	100.0
IPD0820-R03-P91-F08-0016_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.88	138	0.50	88.3	NA	NA	3928.6	19809970	22423574	89.0	95.4	94.9	NA	NA	NA
IPD1152-D01-P92-A29-0002_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	94	NA	NA	2.7	770.7	9.6	747	102	699.0	NA	96.2	0.84	0.3	99.0	99.4	NA	77.2	NA	94.0	98.3	95.9	NA	NA	99.9	131333784	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	1.000	0.082	100.0
IPD1152-R03-P92-A29-0002_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.81	94	0.17	93.1	NA	NA	4359.9	22532799	24206372	89.0	95.4	94.9	NA	NA	NA
IPD1241-D01-P91-A28-0003_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	438	NA	NA	3.2	483.1	3.0	214	91	185.0	NA	98.5	3.78	0.8	85.7	98.8	NA	73.0	NA	48.8	83.9	43.3	NA	NA	99.9	105879972	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	1.000	0.191	100.0
IPD1241-R03-P91-A28-0003_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.16	97	0.14	94.2	NA	NA	3617.8	19295809	20478882	89.0	95.4	94.9	NA	NA	NA
IPD1349-D01-d91-A18-0002_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	622	NA	NA	7.7	206.1	3.1	192	82	181.0	NA	98.2	0.64	2.0	92.3	98.8	NA	84.9	NA	93.1	88.1	24.7	NA	NA	99.9	110212068	58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	1.000	0.184	100.0
IPD1492-R03-r11-A05_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.38	113	0.17	93.6	NA	NA	5857.0	27227360	29096954	89.0	95.4	94.9	NA	NA	NA
IPD1494-D01-R01-A15_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	1824	NA	NA	11.2	99.7	1.7	92	73	91.0	NA	98.5	1.19	4.8	42.4	92.0	NA	81.4	NA	95.5	41.5	1.0	NA	NA	99.9	89693298	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	0.961	0.228	100.0
IPD1494-R03-R01-A15_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.90	83	0.24	93.5	NA	NA	2611.0	16925299	18097100	89.0	95.4	94.9	NA	NA	NA
IPD1504-D01-P01-A15_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	5296	NA	NA	2.6	511.7	7.8	500	88	486.0	NA	99.0	2.68	4.9	98.0	99.0	NA	74.3	NA	93.3	97.3	89.9	NA	NA	99.9	95872646	111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	0.000	0.197	100.0
IPD1504-R03-P01-A15_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.05	90	0.15	95.0	NA	NA	4447.5	23296333	24512458	89.0	95.4	94.9	NA	NA	NA
IPD1505-D01-P01-A08_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	1049	NA	NA	4.7	400.7	4.2	289	94	285.0	NA	99.1	1.86	2.2	97.0	98.7	NA	84.2	NA	88.3	96.0	64.0	NA	NA	99.9	112596988	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	0.999	0.109	100.0
IPD1505-R03-P01-A08_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.48	108	0.30	96.0	NA	NA	4430.8	25711755	26796494	89.0	95.4	94.9	NA	NA	NA
IPD1506-D01-P01-A14_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	1558	NA	NA	3.0	630.2	7.8	600	108	581.0	NA	98.6	0.59	3.4	98.7	99.3	NA	80.7	NA	92.3	98.1	92.5	NA	NA	99.9	108181486	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	0.615	0.102	100.0
IPD1506-R03-P01-A14_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.43	113	0.21	93.7	NA	NA	5730.3	27197014	29019336	89.0	95.4	94.9	NA	NA	NA
IPD1510-D01-X01-A08_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	972	NA	NA	3.2	542.9	7.3	535	108	535.0	NA	99.2	0.62	1.4	98.0	98.9	NA	80.9	NA	93.0	97.5	90.7	NA	NA	99.9	101148036	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	0.993	0.158	100.0
IPD1510-R03-X01-A08_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.31	108	0.19	94.8	NA	NA	5081.4	23817688	25129598	89.0	95.4	94.9	NA	NA	NA
IPD1512-D01-d01-AXX_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	7955	NA	NA	3.2	599.4	7.6	581	109	565.0	NA	99.0	0.40	12.9	98.7	99.3	NA	79.2	NA	94.6	98.0	94.2	NA	NA	99.9	111572826	111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	0.000	0.127	100.0
IPD1512-R03-d01-AXX_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.21	114	0.15	94.7	NA	NA	5062.8	24737107	26118838	89.0	95.4	94.9	NA	NA	NA
IPD1517-D01-X01-M17_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	8604	NA	NA	2.5	590.8	7.7	599	101	564.0	NA	89.0	0.13	23.4	97.8	99.0	NA	76.6	NA	88.2	96.5	87.2	NA	NA	99.9	103301110	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	0.219	0.145	100.0
IPD1517-R03-X01-M17_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.69	114	0.22	91.8	NA	NA	4144.6	20183953	21988862	89.0	95.4	94.9	NA	NA	NA
IPD1519-D01-P01-A08_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	1236	NA	NA	2.4	842.9	10.9	841	106	830.0	NA	98.9	0.45	1.8	98.6	99.2	NA	81.0	NA	92.4	97.9	95.1	NA	NA	99.9	114718344	114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.0	95.4	94.9	0.734	0.140	100.0
IPD1519-R03-P01-A08_P	241004_A02134_0026_BHJ2CFDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.01	126	0.22	95.6	NA	NA	5061.0	28683089	30003552	89.0	95.4	94.9	NA	NA	NA
LSL_Guideline	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	LOWER_THRESHOLD	NA	NA	0	NA	NA	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	9000000	NA	55.0	80.0	80.0	0.000	0.000	NA
USL_Guideline	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	UPPER_THRESHOLD	NA	NA	3106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.049	0.210	NA
IPD0086-D01-d02-A22_P	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	172	NA	NA	3.6	537.8	7.0	522	102	496.0	NA	97.6	1.05	0.5	98.9	99.4	NA	77.7	NA	95.5	98.1	93.8	NA	NA	99.9	121481898	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.3	93.3	90.2	1.000	0.089	100.0
IPD0086-R03-d02-A22_P	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.75	116	0.14	93.9	NA	NA	4265.3	22055596	23500130	80.3	93.3	90.2	NA	NA	NA
IPD0781-D01-P91-A29-0015_P	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	800	NA	NA	4.4	257.0	4.2	247	70	235.0	NA	94.8	2.51	1.2	95.2	98.8	NA	72.0	NA	92.4	92.9	43.9	NA	NA	99.9	104292786	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.3	93.3	90.2	1.000	0.104	100.0
IPD1704-R03-X11-A30_P	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.05	113	0.15	93.8	NA	NA	4236.8	21227551	22642700	80.3	93.3	90.2	NA	NA	NA
IPD1724-D01-r01-A09_P	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	1923	NA	NA	12.1	94.0	1.3	84	87	84.0	NA	98.1	0.69	6.6	35.8	86.5	NA	81.8	NA	93.5	36.4	1.4	NA	NA	99.9	79805322	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.3	93.3	90.2	0.357	0.198	100.0
IPD1724-R03-d01-A09_P	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.33	100	0.20	90.9	NA	NA	3128.3	16963811	18651818	80.3	93.3	90.2	NA	NA	NA
IPD1736-D01-X01-A08_P	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	366	NA	NA	2.4	733.5	7.5	592	115	586.0	NA	98.8	0.54	0.6	98.4	99.0	NA	81.6	NA	91.6	97.9	94.0	NA	NA	99.8	93669592	121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.3	93.3	90.2	1.000	0.094	100.0
IPD1736-R03-X01-A08_P	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.45	105	0.20	95.2	NA	NA	3228.7	17322621	18203038	80.3	93.3	90.2	NA	NA	NA
IPD1737-R03-d11-A24_P	250321_A02134_0073_BHTMFHDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.43	117	0.15	94.6	NA	NA	4834.3	22972165	24283098	80.3	93.3	90.2	NA	NA	NA
